paper_id,citation,doi,publication_year,journal_source,asset,sample_period,sampling_frequency,signal,target_variable,holding_period,economic_explanation,statistical_methodology,reported_t_stats_p_values,reported_costs,reported_return,reported_sharpe,reported_drawdown,in_sample_or_out_of_sample,replication_feasibility,required_datasets,suspected_look_ahead_risks,suspected_publication_bias_risks,our_replication_result,our_robustness_result,our_conclusion,status
P001,"Gao, Han, Li & Zhou (2018), Market Intraday Momentum, Journal of Financial Economics",10.1016/j.jfineco.2018.05.009,2018,Journal of Financial Economics,S&P 500 / E-mini futures,1993-2013 (original),30-minute,first half-hour return,last half-hour return,~30 minutes,Late-informed trading / limits to arbitrage cause the last half-hour to reflect information already present in the first half-hour,Predictive regression with Newey-West HAC standard errors; half-hour interval returns,reported significant t-stats in original paper (see source),not modeled in original paper (gross),reported positive and economically large in original sample,not directly reported as an annualised Sharpe in original abstract,not reported in abstract,in-sample (original paper's own sample),high - requires only OHLC(V) at 30-min bars for ES/SPY,SPY/ES 30-minute OHLCV 1993-2013 and extension years,none identified in the original methodology as published,anomaly is well-cited and has prompted multiple replication/extension papers - some risk of a still-generalizing effect being overstated post-publication,"Smoke-tested (not a valid replication) on MES/MGC/MCL 15-min and 30-min bars (2026-06-08 to 2026-09-11), using the CORRECTED spec (first-half-hour return is overnight-inclusive: prior day's close to 10am, not same-day open -- an earlier run in this project had this wrong). Net P&L negative in 5 of 6 instrument/timeframe combos at all 3 cost scenarios; only MGC 15-min was positive. See research/hypothesis_ledger/hypothesis_ledger.csv H001 and reports/backtests/MES_IMOM_v1_all_instruments.json.","Not attempted -- largest sample is 67 trades (MES 30min), below the walk-forward/robustness minimum this mandate itself sets (section 24: 100+ trades).","Provisional non-pass on 5/6 combos tested, provisional pass on 1/6 (MGC 15min) -- not enough to conclude either way. Needs multi-year data (external vendor per section 14) before this can be answered properly.",failed
P002,"Wen, Gong, Ma & Xu (2021), Intraday momentum and return predictability: Evidence from the crude oil market, Economic Modelling",10.1016/j.econmod.2020.03.004,2021,Economic Modelling,WTI crude oil futures (CL),varies by data vendor - to confirm at replication time,30-minute,first half-hour return (oil),last half-hour return (oil),~30 minutes to full session,Analogous intraday-momentum mechanism as Gao et al. applied to crude oil; order flow persistence / gradual information diffusion,Predictive regression with HAC-robust standard errors,reported significant t-stats in original paper (see source),partially modeled,reported positive in original sample,not directly reported as annualised Sharpe in abstract,not reported in abstract,in-sample (original paper's own sample),high - requires CL 30-min OHLCV,CL 30-minute OHLCV covering original sample period,none identified in the original methodology as published,single-market replication of an established equity effect - moderate risk of overfitting to oil-specific sample,not yet run,not yet run,queued for replication,queued
P003,"Wen, Indriawan, Lien & Xu (2023), Intraday Return Predictability in the Crude Oil Market: The Role of EIA Inventory Announcements, The Energy Journal",10.5547/01956574.44.4.zwen,2023,The Energy Journal,WTI crude oil futures (CL),to confirm at replication time,5/15/30-minute post-announcement,EIA inventory surprise,post-announcement continuation/reversal return,minutes to hours post-release,EIA weekly petroleum status report is a scheduled macro surprise that reveals private supply/demand information not yet in price,Event-study regression around scheduled release timestamps; surprise = actual - consensus,reported significant t-stats in original paper (see source),event-day slippage explicitly relevant,reported positive continuation in original sample,not directly reported as annualised Sharpe in abstract,not reported in abstract,in-sample (original paper's own sample),medium - requires timestamped EIA actual/consensus with correct release-time vintages,"EIA weekly petroleum status report actuals, Bloomberg/Reuters consensus vintages, CL 5-min OHLCV",HIGH RISK if consensus data is not vintage-correct (using revised/late consensus would leak information); must use only data available at 10:30am ET release time,recent publication - forward-testing needed to see if the effect has decayed since publication,not yet run,not yet run,queued for replication,queued
P004,"Ye & Karali (2016), The informational content of inventory announcements: Intraday evidence from crude oil futures market, Energy Economics",10.1016/j.eneco.2016.08.011,2016,Energy Economics,WTI crude oil futures (CL),to confirm at replication time,intraday (tick/minute around release),EIA/API inventory surprise,intraday price response magnitude/speed,minutes post-release,Price discovery speed around scheduled inventory announcements reveals informational content and market efficiency,Event-study / intraday volatility and price-impact regressions,reported significant t-stats in original paper (see source),not the primary focus of original paper,not a trading-return paper (informational-content focus),not reported,not reported,in-sample (original paper's own sample),medium - similar data requirements to P003,"EIA/API inventory data, CL intraday data",same vintage-timing risk as P003,moderate - informational-content papers are less prone to pure return-mining bias than pure trading-strategy papers,not yet run,not yet run,queued for replication,queued
P005,"Elder, Miao & Ramchander (2012), Impact of macroeconomic news on metal futures, Journal of Banking & Finance",10.1016/j.jbankfin.2011.06.007,2012,Journal of Banking & Finance,Gold futures (GC) and other metals,to confirm at replication time,intraday around scheduled releases,macro surprise (NFP/CPI/FOMC/etc actual-consensus),intraday gold futures return,minutes to hours post-release,Gold's role as a monetary/inflation/safe-haven asset makes it sensitive to macro surprises affecting real yields and USD,Event-study regression with standardized surprise = (actual-consensus)/surprise_stdev,reported significant t-stats in original paper (see source),not the primary focus of original paper,reported significant intraday moves around releases,not reported,not reported,in-sample (original paper's own sample),medium - requires vintage-correct consensus data for multiple macro series,"Vintage macro consensus/actuals (NFP CPI FOMC etc), GC intraday OHLCV",HIGH RISK if consensus data is not vintage-correct; never use revised economic data,"moderate - macro-surprise effects on gold are a well-established, frequently-replicated literature",not yet run,not yet run,queued for replication,queued
P006,"Moskowitz, Ooi & Pedersen (2012), Time Series Momentum, Journal of Financial Economics",10.1016/j.jfineco.2011.11.003,2012,Journal of Financial Economics,58 futures/forwards across asset classes incl. equity index/commodities,1965-2009 (original),monthly (original); we test daily/intraday extension separately,12-month lookback sign of return,next 1-month return,"~1 month (original); shorter horizons are our extension, not the original claim","Trend continuation from underreaction/gradual information diffusion, initial underreaction followed by delayed overreaction, positive autocorrelation in returns across many asset classes",Time series regression of return on lagged own return sign; portfolio-level Sharpe tests,reported significant t-stats in original paper (see source),modeled with reasonable transaction costs in original paper,reported strong positive in original sample (multiple asset classes),original paper reports Sharpe near 1 for the diversified TSMOM portfolio,moderate reported drawdown in original paper,in-sample (original paper's own sample),high for the monthly original; our intraday-scale extension (5min-4hr) is a genuinely new test requiring its own out-of-sample discipline,ES/GC/CL daily and intraday OHLCV,none in the original monthly specification; DO NOT assume monthly TSMOM evidence transfers to intraday scale - section 11E of the mandate requires we test this explicitly rather than assume it,TSMOM is one of the most replicated anomalies in the literature - low publication-bias risk at monthly horizon; unknown/higher risk at the intraday horizons we must additionally test,not yet run,not yet run,queued - note our mandate is to test the INTRADAY (5min-4hr) analogue not just replicate the monthly result,queued
P007,"Szakmary, Shen & Sharma (2010), Trend-following trading strategies in commodity futures: A re-examination, Journal of Banking & Finance",10.1016/j.jbankfin.2009.08.004,2010,Journal of Banking & Finance,32 commodity futures incl. gold and crude oil,1970s-2007 (original),daily (original),moving-average and channel breakout signals,next-period return,days to weeks,Trend-following captures persistent price trends from gradual information diffusion and hedging pressure in commodity futures,Portfolio-level backtests of MA-crossover and channel-breakout systems with t-tests on mean returns,reported significant t-stats in original paper (see source),modeled with reasonable transaction costs in original paper,reported positive in original sample,not the primary reported metric,not reported in abstract,in-sample (original paper's own sample),high - requires only daily OHLCV for GC/CL,GC and CL daily OHLCV,none identified in the original daily-bar methodology,commodity trend-following is a long-replicated effect but has weakened/become more crowded post-2010 per general practitioner literature - relevant caveat for our conclusion,"NOT a replication of the paper's own monthly-horizon test (no monthly-scale history available -- see data/metadata/depth_assessment.json). Instead, per section 11E, the same dual-moving-average-crossover MECHANISM was tested at 15-min and 30-min horizons on MES/MGC/MCL, across 3 parameter pairs ((5,20),(10,30),(20,50)) since the paper's own exact parameter grid could not be verified (sciencedirect/researchgate/semanticscholar/repec all blocked by this session's network egress policy). See research/hypothesis_ledger/hypothesis_ledger.csv H002 and reports/backtests/DUAL_MA_XOVER_v1_parameter_stability.json.","FAILED basic parameter-stability check: net P&L flips sign across the 3 neighbouring parameter pairs in 4 of 6 instrument/timeframe combinations tested (MES 30min, MGC 30min, MCL 15min directionally inconsistent; MGC 15min consistently negative). Textbook 'isolated spike, not a plateau' pattern per section 21's own reject criterion.","Does not currently qualify as a working strategy at these intraday horizons on this data. Says nothing about the original paper's monthly-horizon, 48-year, 28-market finding, which this project has not attempted to replicate and cannot with the data available (section 14).",failed
P008,"Bonato, Demirer, Gupta & Pierdzioch (2018), Gold futures returns and realized moments: A forecasting experiment using a quantile-boosting approach, Resources Policy",10.1016/j.resourpol.2018.03.004,2018,Resources Policy,Gold futures (GC),to confirm at replication time,daily realized moments from intraday data,gold futures return / return quantiles,short-horizon forecast,"not applicable (forecasting paper, not a trade-holding strategy)","Realized volatility, skewness and kurtosis computed from intraday data carry forecast-relevant information about the conditional return distribution",Quantile-boosting machine-learning forecast of gold returns using realized moments as predictors,reported significant improvement over benchmark in original paper,not the primary focus of original paper,"forecasting accuracy improvement, not a trading P&L figure",not applicable (forecasting paper),not applicable,in-sample (original paper's own sample),"medium - requires intraday GC data to construct realized moments, plus a supervised ML pipeline with strictly chronological validation",GC intraday OHLCV for realized-moment construction,target leakage risk if realized moments are computed using data past the decision timestamp; must use only completed-bar information (section 44/65),ML-based forecasting papers in commodities carry elevated publication-bias/overfitting risk relative to simple linear anomaly papers - treat conclusions cautiously until replicated with purged/chronological validation,not yet run,not yet run,queued for replication - lowest priority given ML complexity rule (section 19/44),queued
P009,"Fama & French (1987), Commodity Futures Prices: Some Evidence on Forecast Power, Premiums, and the Theory of Storage, Journal of Business",10.1086/296404,1987,Journal of Business,21 commodity futures incl. metals and energy,1966-1984 (original),monthly,basis (futures price relative to spot / theory of storage),subsequent futures return,~1 month (original),"Theory of storage: backwardation reflects a convenience yield from holding physical inventory when stocks are low, and has historically been associated with a positive risk premium for holding the future","Time series regressions of returns on lagged basis, portfolio sorts by basis",reported significant t-stats in original paper (see source),"not modeled in original paper (academic, not a trading-cost study)",reported positive premium associated with backwardation in original sample,not reported as an annualised Sharpe in original paper,not reported,in-sample (original paper's own sample),"high for the monthly original; our daily/single-instrument test (section 11) is a different, faster-horizon design, not a replication",Futures term structure (front + next contract prices) for the relevant commodities,none in the original specification (uses only already-observable futures prices),"one of the most foundational, most-replicated papers in commodity futures research - low publication-bias risk at its own (monthly, cross-sectional) design; our single-instrument daily adaptation has not been separately validated in the literature","NOT a replication (see paper_id P010 entry / hypothesis_ledger.csv H003 for the actual test run, a single-instrument time-series adaptation using MCL front-vs-next contract daily basis)",n=6 trades over the available window; net P&L is 98.6% of a naive buy-and-hold benchmark over the same period -- indistinguishable from market beta given backwardation was persistent (186/197 days) during a strong rally,"Mechanism (basis/backwardation) tested at daily/single-instrument scale, not the paper's own monthly/cross-sectional design; result does not demonstrate an edge distinct from beta exposure in this sample",failed
P010,"Erb & Harvey (2006), The Strategic and Tactical Value of Commodity Futures, Financial Analysts Journal",10.2469/faj.v62.n2.4084,2006,Financial Analysts Journal,36 commodity futures,1982-2004 (original),monthly,"roll yield / term structure slope, ranked cross-sectionally across commodities",subsequent futures return,"~1 month (original), rebalanced cross-sectional portfolio",Backwardated commodities (positive roll yield) have historically outperformed contangoed commodities (negative roll yield); a long-short cross-sectional portfolio captures this risk premium more cleanly than a single-instrument time-series bet,"Cross-sectional portfolio sorts by roll yield, long top tercile / short bottom tercile",reported significant t-stats in original paper (see source),not fully modeled in original paper,reported meaningfully higher returns for backwardated vs contangoed portfolios in original sample,reported favourably vs passive commodity indices in original paper,not reported,in-sample (original paper's own sample),"low with only MES/MGC/MCL available -- the paper's edge is explicitly CROSS-SECTIONAL (ranking many commodities against each other), and this project only has 3 instruments across 3 different asset classes (equity index, gold, oil), not a broad commodity panel to rank within",Term structure for a broad commodity futures panel (this project has only 3 instruments),none in the original specification,"widely cited, practitioner-facing paper; commodity risk premia have also been reported to have weakened/become more crowded since original publication per later literature - relevant caveat","Only a single-instrument (MCL) TIME-SERIES adaptation was tested (section 11's own instruction to test the mechanism at available horizons), not the paper's actual cross-sectional design -- this project's 3-instrument universe cannot support a real cross-sectional test",n=6 trades; net P&L 98.6% of naive buy-and-hold over the same window -- not distinguishable from beta,The paper's actual design (cross-sectional ranking across a broad commodity panel) cannot be tested with only MES/MGC/MCL. The single-instrument adaptation tested here shows no edge beyond market beta in this sample. A real test needs a broader instrument universe.,failed
